world_cup,date,team 1,team 2,score team 1,score team 2,penalties team 1,penalties team 2,Location,phase,attendance,year,host
1974 FIFA World Cup,6/18/1974,Chile,East Germany,1,1,,,Berlin West ,Group stage,28300,1974,Germany
1974 FIFA World Cup,6/18/1974,Scotland,Brazil,0,0,,,Frankfurt/Main ,Group stage,62000,1974,Germany
1974 FIFA World Cup,6/18/1974,Yugoslavia,Zaire,9,0,,,Gelsenkirchen ,Group stage,31700,1974,Germany
1974 FIFA World Cup,6/19/1974,Argentina,Italy,1,1,,,Stuttgart ,Group stage,70100,1974,Germany
1974 FIFA World Cup,6/19/1974,Bulgaria,Uruguay,1,1,,,Hanover ,Group stage,13400,1974,Germany
1974 FIFA World Cup,6/19/1974,Haiti,Poland,0,7,,,Munich ,Group stage,25300,1974,Germany
1974 FIFA World Cup,6/19/1974,Netherlands,Sweden,0,0,,,Dortmund ,Group stage,53700,1974,Germany
1974 FIFA World Cup,6/22/1974,Australia,Chile,0,0,,,Berlin West ,Group stage,17400,1974,Germany
1974 FIFA World Cup,6/22/1974,East Germany,West Germany,1,0,,,Hamburg ,Group stage,60200,1974,Germany
1974 FIFA World Cup,6/22/1974,Scotland,Yugoslavia,1,1,,,Frankfurt/Main ,Group stage,56000,1974,Germany
1974 FIFA World Cup,6/22/1974,Zaire,Brazil,0,3,,,Gelsenkirchen ,Group stage,36200,1974,Germany
1974 FIFA World Cup,6/23/1974,Argentina,Haiti,4,1,,,Munich ,Group stage,25900,1974,Germany
1974 FIFA World Cup,6/23/1974,Bulgaria,Netherlands,1,4,,,Dortmund ,Group stage,53300,1974,Germany
1974 FIFA World Cup,6/23/1974,Poland,Italy,2,1,,,Stuttgart ,Group stage,70100,1974,Germany
1974 FIFA World Cup,6/23/1974,Sweden,Uruguay,3,0,,,Dusseldorf,Group stage,28300,1974,Germany
1974 FIFA World Cup,6/26/1974,Brazil,East Germany,1,0,,,Hanover ,Second round,59863,1974,Germany
1974 FIFA World Cup,6/26/1974,Netherlands,Argentina,4,0,,,Gelsenkirchen ,Second round,56548,1974,Germany
1974 FIFA World Cup,6/26/1974,Sweden,Poland,0,1,,,Stuttgart ,Second round,44955,1974,Germany
1974 FIFA World Cup,6/26/1974,Yugoslavia,West Germany,0,2,,,Dusseldorf,Second round,67385,1974,Germany
1974 FIFA World Cup,6/30/1974,Argentina,Brazil,1,2,,,Hanover ,Second round,39400,1974,Germany
1974 FIFA World Cup,6/30/1974,East Germany,Netherlands,0,2,,,Gelsenkirchen ,Second round,68348,1974,Germany
1974 FIFA World Cup,6/30/1974,West Germany,Sweden,4,2,,,Dusseldorf,Second round,67800,1974,Germany
1974 FIFA World Cup,6/30/1974,Poland,Yugoslavia,2,1,,,Frankfurt/Main ,Second round,58000,1974,Germany
1974 FIFA World Cup,7/3/1974,Argentina,East Germany,1,1,,,Gelsenkirchen ,Second round,54254,1974,Germany
1974 FIFA World Cup,7/3/1974,Netherlands,Brazil,2,0,,,Dortmund ,Second round,53700,1974,Germany
1974 FIFA World Cup,7/3/1974,Poland,West Germany,0,1,,,Frankfurt/Main ,Second round,62000,1974,Germany
1974 FIFA World Cup,7/3/1974,Sweden,Yugoslavia,2,1,,,Dusseldorf,Second round,41300,1974,Germany
1974 FIFA World Cup,7/6/1974,Brazil,Poland,0,1,,,Munich ,Match for third place,77100,1974,Germany
1974 FIFA World Cup,7/7/1974,Netherlands,West Germany,1,2,,,Munich ,Final,78200,1974,Germany
1978 FIFA World Cup,6/1/1978,West Germany,Poland,0,0,,,Buenos Aires ,Group stage,67579,1978,Argentina
1978 FIFA World Cup,6/2/1978,Argentina,Hungary,2,1,,,Buenos Aires ,Group stage,71615,1978,Argentina
1978 FIFA World Cup,6/2/1978,Italy,France,2,1,,,Mar Del Plata ,Group stage,42373,1978,Argentina
1978 FIFA World Cup,6/2/1978,Tunisia,Mexico,3,1,,,Rosario ,Group stage,17396,1978,Argentina
1978 FIFA World Cup,6/3/1978,Austria,Spain,2,1,,,Buenos Aires ,Group stage,40841,1978,Argentina
1978 FIFA World Cup,6/3/1978,Netherlands,Iran,3,0,,,Mendoza ,Group stage,33431,1978,Argentina
1978 FIFA World Cup,6/3/1978,Peru,Scotland,3,1,,,Cordoba ,Group stage,37927,1978,Argentina
1978 FIFA World Cup,6/3/1978,Sweden,Brazil,1,1,,,Mar Del Plata ,Group stage,32569,1978,Argentina
1978 FIFA World Cup,6/6/1978,Argentina,France,2,1,,,Buenos Aires ,Group stage,71666,1978,Argentina
1978 FIFA World Cup,6/6/1978,West Germany,Mexico,6,0,,,Cordoba ,Group stage,35258,1978,Argentina
1978 FIFA World Cup,6/6/1978,Italy,Hungary,3,1,,,Mar Del Plata ,Group stage,26533,1978,Argentina
1978 FIFA World Cup,6/6/1978,Poland,Tunisia,1,0,,,Rosario ,Group stage,9624,1978,Argentina
1978 FIFA World Cup,6/7/1978,Austria,Sweden,1,0,,,Buenos Aires ,Group stage,41424,1978,Argentina
1978 FIFA World Cup,6/7/1978,Brazil,Spain,0,0,,,Mar Del Plata ,Group stage,34771,1978,Argentina
1978 FIFA World Cup,6/7/1978,Netherlands,Peru,0,0,,,Mendoza ,Group stage,28125,1978,Argentina
1978 FIFA World Cup,6/7/1978,Scotland,Iran,1,1,,,Cordoba ,Group stage,7938,1978,Argentina
1978 FIFA World Cup,6/10/1978,France,Hungary,3,1,,,Mar Del Plata ,Group stage,23127,1978,Argentina
1978 FIFA World Cup,6/10/1978,West Germany,Tunisia,0,0,,,Cordoba ,Group stage,30667,1978,Argentina
1978 FIFA World Cup,6/10/1978,Italy,Argentina,1,0,,,Buenos Aires ,Group stage,71712,1978,Argentina
1978 FIFA World Cup,6/10/1978,Poland,Mexico,3,1,,,Rosario ,Group stage,22651,1978,Argentina
1978 FIFA World Cup,6/11/1978,Brazil,Austria,1,0,,,Mar Del Plata ,Group stage,35221,1978,Argentina
1978 FIFA World Cup,6/11/1978,Peru,Iran,4,1,,,Cordoba ,Group stage,21262,1978,Argentina
1978 FIFA World Cup,6/11/1978,Scotland,Netherlands,3,2,,,Mendoza ,Group stage,35130,1978,Argentina
1978 FIFA World Cup,6/11/1978,Spain,Sweden,1,0,,,Buenos Aires ,Group stage,42132,1978,Argentina
1978 FIFA World Cup,6/14/1978,Argentina,Poland,2,0,,,Rosario ,Second round,37091,1978,Argentina
1978 FIFA World Cup,6/14/1978,Brazil,Peru,3,0,,,Mendoza ,Second round,31278,1978,Argentina
1978 FIFA World Cup,6/14/1978,West Germany,Italy,0,0,,,Buenos Aires ,Second round,67547,1978,Argentina
1978 FIFA World Cup,6/14/1978,Netherlands,Austria,5,1,,,Cordoba ,Second round,25050,1978,Argentina
1978 FIFA World Cup,6/18/1978,Argentina,Brazil,0,0,,,Rosario ,Second round,37326,1978,Argentina
1978 FIFA World Cup,6/18/1978,West Germany,Netherlands,2,2,,,Cordoba ,Second round,40750,1978,Argentina
1978 FIFA World Cup,6/18/1978,Italy,Austria,1,0,,,Buenos Aires ,Second round,66695,1978,Argentina
1978 FIFA World Cup,6/18/1978,Poland,Peru,1,0,,,Mendoza ,Second round,35288,1978,Argentina
1978 FIFA World Cup,6/21/1978,Argentina,Peru,6,0,,,Rosario ,Second round,37315,1978,Argentina
1978 FIFA World Cup,6/21/1978,Austria,West Germany,3,2,,,Cordoba ,Second round,38318,1978,Argentina
1978 FIFA World Cup,6/21/1978,Brazil,Poland,3,1,,,Mendoza ,Second round,39586,1978,Argentina
1978 FIFA World Cup,6/21/1978,Netherlands,Italy,2,1,,,Buenos Aires ,Second round,67433,1978,Argentina
1978 FIFA World Cup,6/24/1978,Brazil,Italy,2,1,,,Buenos Aires ,Match for third place,69659,1978,Argentina
1978 FIFA World Cup,6/25/1978,Argentina,Netherlands,3,1,,,Buenos Aires ,Final,71483,1978,Argentina
1982 FIFA World Cup,6/13/1982,Argentina,Belgium,0,1,,,Barcelona ,Group stage,95000,1982,Spain
1982 FIFA World Cup,6/14/1982,Brazil,Soviet Union,2,1,,,Seville ,Group stage,68000,1982,Spain
1982 FIFA World Cup,6/14/1982,Italy,Poland,0,0,,,Vigo ,Group stage,33000,1982,Spain
1982 FIFA World Cup,6/15/1982,Hungary,El Salvador,10,1,,,Elche ,Group stage,23000,1982,Spain
1982 FIFA World Cup,6/15/1982,Peru,Cameroon,0,0,,,La Coruna ,Group stage,11000,1982,Spain
1982 FIFA World Cup,6/15/1982,Scotland,New Zealand,5,2,,,Malaga ,Group stage,36000,1982,Spain
1982 FIFA World Cup,6/16/1982,England,France,3,1,,,Bilbao ,Group stage,44172,1982,Spain
1982 FIFA World Cup,6/16/1982,West Germany,Algeria,1,2,,,Gijon ,Group stage,42000,1982,Spain
1982 FIFA World Cup,6/16/1982,Spain,Honduras,1,1,,,Valencia ,Group stage,49562,1982,Spain
1982 FIFA World Cup,6/17/1982,Chile,Austria,0,1,,,Oviedo ,Group stage,22500,1982,Spain
1982 FIFA World Cup,6/17/1982,Czechoslovakia,Kuwait,1,1,,,Valladolid ,Group stage,25000,1982,Spain
1982 FIFA World Cup,6/17/1982,Yugoslavia,Northern Ireland,0,0,,,Zaragoza ,Group stage,25000,1982,Spain
1982 FIFA World Cup,6/18/1982,Argentina,Hungary,4,1,,,Alicante ,Group stage,32093,1982,Spain
1982 FIFA World Cup,6/18/1982,Brazil,Scotland,4,1,,,Seville ,Group stage,47379,1982,Spain
1982 FIFA World Cup,6/18/1982,Italy,Peru,1,1,,,Vigo ,Group stage,25000,1982,Spain
1982 FIFA World Cup,6/19/1982,Belgium,El Salvador,1,0,,,Elche ,Group stage,15000,1982,Spain
1982 FIFA World Cup,6/19/1982,Poland,Cameroon,0,0,,,La Coruna ,Group stage,19000,1982,Spain
1982 FIFA World Cup,6/19/1982,Soviet Union,New Zealand,3,0,,,Malaga ,Group stage,19000,1982,Spain
1982 FIFA World Cup,6/20/1982,England,Czechoslovakia,2,0,,,Bilbao ,Group stage,41123,1982,Spain
1982 FIFA World Cup,6/20/1982,West Germany,Chile,4,1,,,Gijon ,Group stage,42000,1982,Spain
1982 FIFA World Cup,6/20/1982,Spain,Yugoslavia,2,1,,,Valencia ,Group stage,48000,1982,Spain
1982 FIFA World Cup,6/21/1982,Algeria,Austria,0,2,,,Oviedo ,Group stage,22000,1982,Spain
1982 FIFA World Cup,6/21/1982,France,Kuwait,4,1,,,Valladolid ,Group stage,30043,1982,Spain
1982 FIFA World Cup,6/21/1982,Honduras,Northern Ireland,1,1,,,Zaragoza ,Group stage,15000,1982,Spain
1982 FIFA World Cup,6/22/1982,Belgium,Hungary,1,1,,,Elche ,Group stage,37000,1982,Spain
1982 FIFA World Cup,6/22/1982,Poland,Peru,5,1,,,La Coruna ,Group stage,25000,1982,Spain
1982 FIFA World Cup,6/22/1982,Soviet Union,Scotland,2,2,,,Malaga ,Group stage,45000,1982,Spain
1982 FIFA World Cup,6/23/1982,Argentina,El Salvador,2,0,,,Alicante ,Group stage,32500,1982,Spain
1982 FIFA World Cup,6/23/1982,Brazil,New Zealand,4,0,,,Seville ,Group stage,43000,1982,Spain
1982 FIFA World Cup,6/23/1982,Italy,Cameroon,1,1,,,Vigo ,Group stage,20000,1982,Spain
1982 FIFA World Cup,6/24/1982,Algeria,Chile,3,2,,,Oviedo ,Group stage,16000,1982,Spain
1982 FIFA World Cup,6/24/1982,France,Czechoslovakia,1,1,,,Valladolid ,Group stage,28000,1982,Spain
1982 FIFA World Cup,6/24/1982,Honduras,Yugoslavia,0,1,,,Zaragoza ,Group stage,25000,1982,Spain
1982 FIFA World Cup,6/25/1982,England,Kuwait,1,0,,,Bilbao ,Group stage,39700,1982,Spain
1982 FIFA World Cup,6/25/1982,West Germany,Austria,1,0,,,Gijon ,Group stage,41000,1982,Spain
1982 FIFA World Cup,6/25/1982,Northern Ireland,Spain,1,0,,,Valencia ,Group stage,49562,1982,Spain
1982 FIFA World Cup,6/28/1982,Austria,France,0,1,,,Madrid ,Second round,37000,1982,Spain
1982 FIFA World Cup,6/28/1982,Poland,Belgium,3,0,,,Barcelona ,Second round,65000,1982,Spain
1982 FIFA World Cup,6/29/1982,West Germany,England,0,0,,,Madrid ,Second round,75000,1982,Spain
1982 FIFA World Cup,6/29/1982,Italy,Argentina,2,1,,,Barcelona ,Second round,43000,1982,Spain
1982 FIFA World Cup,7/1/1982,Austria,Northern Ireland,2,2,,,Madrid ,Second round,20000,1982,Spain
1982 FIFA World Cup,7/1/1982,Belgium,Soviet Union,0,1,,,Barcelona ,Second round,45000,1982,Spain
1982 FIFA World Cup,7/2/1982,Argentina,Brazil,1,3,,,Barcelona ,Second round,44000,1982,Spain
1982 FIFA World Cup,7/2/1982,West Germany,Spain,2,1,,,Madrid ,Second round,90089,1982,Spain
1982 FIFA World Cup,7/4/1982,France,Northern Ireland,4,1,,,Madrid ,Second round,37000,1982,Spain
1982 FIFA World Cup,7/4/1982,Poland,Soviet Union,0,0,,,Barcelona ,Second round,65000,1982,Spain
1982 FIFA World Cup,7/5/1982,Italy,Brazil,3,2,,,Barcelona ,Second round,44000,1982,Spain
1982 FIFA World Cup,7/5/1982,Spain,England,0,0,,,Madrid ,Second round,75000,1982,Spain
1982 FIFA World Cup,7/8/1982,West Germany,France,3,3,5,4,Seville ,Semi-finals,70000,1982,Spain
1982 FIFA World Cup,7/8/1982,Poland,Italy,0,2,,,Barcelona ,Semi-finals,50000,1982,Spain
1982 FIFA World Cup,7/10/1982,Poland,France,3,2,,,Alicante ,Match for third place,28000,1982,Spain
1982 FIFA World Cup,7/11/1982,Italy,West Germany,3,1,,,Madrid ,Final,90000,1982,Spain
1986 FIFA World Cup,5/31/1986,Bulgaria,Italy,1,1,,,Mexico City ,Group stage,96000,1986,Mexico
1986 FIFA World Cup,6/1/1986,Canada,France,0,1,,,Leon ,Group stage,65500,1986,Mexico
1986 FIFA World Cup,6/1/1986,Spain,Brazil,0,1,,,Guadalajara ,Group stage,35748,1986,Mexico
1986 FIFA World Cup,6/2/1986,Argentina,South Korea,3,1,,,Mexico City ,Group stage,60000,1986,Mexico
1986 FIFA World Cup,6/2/1986,Morocco,Poland,0,0,,,Monterrey ,Group stage,19900,1986,Mexico
1986 FIFA World Cup,6/2/1986,Soviet Union,Hungary,6,0,,,Irapuato ,Group stage,16500,1986,Mexico
1986 FIFA World Cup,6/3/1986,Algeria,Northern Ireland,1,1,,,Guadalajara ,Group stage,22000,1986,Mexico
1986 FIFA World Cup,6/3/1986,Belgium,Mexico,1,2,,,Mexico City ,Group stage,110000,1986,Mexico
1986 FIFA World Cup,6/3/1986,Portugal,England,1,0,,,Monterrey ,Group stage,23000,1986,Mexico
1986 FIFA World Cup,6/4/1986,Paraguay,Iraq,1,0,,,Toluca ,Group stage,24000,1986,Mexico
1986 FIFA World Cup,6/4/1986,Scotland,Denmark,0,1,,,Nezahualcoyotl ,Group stage,18000,1986,Mexico
1986 FIFA World Cup,6/4/1986,Uruguay,West Germany,1,1,,,Queretaro ,Group stage,30500,1986,Mexico
1986 FIFA World Cup,6/5/1986,France,Soviet Union,1,1,,,Leon ,Group stage,36540,1986,Mexico
1986 FIFA World Cup,6/5/1986,Italy,Argentina,1,1,,,Puebla ,Group stage,32000,1986,Mexico
1986 FIFA World Cup,6/5/1986,South Korea,Bulgaria,1,1,,,Mexico City ,Group stage,45000,1986,Mexico
1986 FIFA World Cup,6/6/1986,Brazil,Algeria,1,0,,,Guadalajara ,Group stage,48000,1986,Mexico
1986 FIFA World Cup,6/6/1986,England,Morocco,0,0,,,Monterrey ,Group stage,20200,1986,Mexico
1986 FIFA World Cup,6/6/1986,Hungary,Canada,2,0,,,Irapuato ,Group stage,13800,1986,Mexico
1986 FIFA World Cup,6/7/1986,Mexico,Paraguay,1,1,,,Mexico City ,Group stage,114600,1986,Mexico
1986 FIFA World Cup,6/7/1986,Northern Ireland,Spain,1,2,,,Guadalajara ,Group stage,28000,1986,Mexico
1986 FIFA World Cup,6/7/1986,Poland,Portugal,1,0,,,Monterrey ,Group stage,19915,1986,Mexico
1986 FIFA World Cup,6/8/1986,Denmark,Uruguay,6,1,,,Nezahualcoyotl ,Group stage,26500,1986,Mexico
1986 FIFA World Cup,6/8/1986,West Germany,Scotland,2,1,,,Queretaro ,Group stage,30000,1986,Mexico
1986 FIFA World Cup,6/8/1986,Iraq,Belgium,1,2,,,Toluca ,Group stage,20000,1986,Mexico
1986 FIFA World Cup,6/9/1986,Hungary,France,0,3,,,Leon ,Group stage,31420,1986,Mexico
1986 FIFA World Cup,6/9/1986,Soviet Union,Canada,2,0,,,Irapuato ,Group stage,14200,1986,Mexico
1986 FIFA World Cup,6/10/1986,Argentina,Bulgaria,2,0,,,Mexico City ,Group stage,65000,1986,Mexico
1986 FIFA World Cup,6/10/1986,South Korea,Italy,2,3,,,Puebla ,Group stage,20000,1986,Mexico
1986 FIFA World Cup,6/11/1986,England,Poland,3,0,,,Monterrey ,Group stage,22700,1986,Mexico
1986 FIFA World Cup,6/11/1986,Iraq,Mexico,0,1,,,Mexico City ,Group stage,103763,1986,Mexico
1986 FIFA World Cup,6/11/1986,Paraguay,Belgium,2,2,,,Toluca ,Group stage,16000,1986,Mexico
1986 FIFA World Cup,6/11/1986,Portugal,Morocco,1,3,,,Guadalajara ,Group stage,28000,1986,Mexico
1986 FIFA World Cup,6/12/1986,Algeria,Spain,0,3,,,Monterrey ,Group stage,23980,1986,Mexico
1986 FIFA World Cup,6/12/1986,Northern Ireland,Brazil,0,3,,,Guadalajara ,Group stage,51000,1986,Mexico
1986 FIFA World Cup,6/13/1986,Denmark,West Germany,2,0,,,Queretaro ,Group stage,36000,1986,Mexico
1986 FIFA World Cup,6/13/1986,Scotland,Uruguay,0,0,,,Nezahualcoyotl ,Group stage,20000,1986,Mexico
1986 FIFA World Cup,6/15/1986,Mexico,Bulgaria,2,0,,,Mexico City ,Round of 16,114580,1986,Mexico
1986 FIFA World Cup,6/15/1986,Soviet Union,Belgium,3,4,,,Leon ,Round of 16,32277,1986,Mexico
1986 FIFA World Cup,6/16/1986,Argentina,Uruguay,1,0,,,Puebla ,Round of 16,26000,1986,Mexico
1986 FIFA World Cup,6/16/1986,Brazil,Poland,4,0,,,Guadalajara ,Round of 16,45000,1986,Mexico
1986 FIFA World Cup,6/17/1986,Italy,France,0,2,,,Mexico City ,Round of 16,70000,1986,Mexico
1986 FIFA World Cup,6/17/1986,Morocco,West Germany,0,1,,,Monterrey ,Round of 16,19800,1986,Mexico
1986 FIFA World Cup,6/18/1986,Denmark,Spain,1,5,,,Queretaro ,Round of 16,38500,1986,Mexico
1986 FIFA World Cup,6/18/1986,England,Paraguay,3,0,,,Mexico City ,Round of 16,98728,1986,Mexico
1986 FIFA World Cup,6/21/1986,Brazil,France,1,1,3,4,Guadalajara ,Quarter-finals,65000,1986,Mexico
1986 FIFA World Cup,6/21/1986,West Germany,Mexico,0,0,,,Monterrey ,Quarter-finals,41700,1986,Mexico
1986 FIFA World Cup,6/22/1986,Argentina,England,2,1,,,Mexico City ,Quarter-finals,114580,1986,Mexico
1986 FIFA World Cup,6/22/1986,Spain,Belgium,1,1,,,Puebla ,Quarter-finals,45000,1986,Mexico
1986 FIFA World Cup,6/25/1986,Argentina,Belgium,2,0,,,Mexico City ,Semi-finals,114500,1986,Mexico
1986 FIFA World Cup,6/25/1986,France,West Germany,0,2,,,Guadalajara ,Semi-finals,45000,1986,Mexico
1986 FIFA World Cup,6/28/1986,France,Belgium,4,2,,,Puebla ,Match for third place,21000,1986,Mexico
1986 FIFA World Cup,6/29/1986,Argentina,West Germany,3,2,,,Mexico City ,Final,114600,1986,Mexico
1990 FIFA World Cup,6/8/1990,Argentina,Cameroon,0,1,,,Milan ,Group stage,73780,1990,Italy
1990 FIFA World Cup,6/9/1990,Italy,Austria,1,0,,,Rome ,Group stage,73303,1990,Italy
1990 FIFA World Cup,6/9/1990,Soviet Union,Romania,0,2,,,Bari ,Group stage,42907,1990,Italy
1990 FIFA World Cup,6/9/1990,United Arab Emirates,Colombia,0,2,,,Bologna ,Group stage,30791,1990,Italy
1990 FIFA World Cup,6/10/1990,Brazil,Sweden,2,1,,,Turin ,Group stage,62628,1990,Italy
1990 FIFA World Cup,6/10/1990,West Germany,Yugoslavia,4,1,,,Milan ,Group stage,74765,1990,Italy
1990 FIFA World Cup,6/10/1990,USA,Czechoslovakia,1,5,,,Florence ,Group stage,33266,1990,Italy
1990 FIFA World Cup,6/11/1990,Costa Rica,Scotland,1,0,,,Genoa ,Group stage,30867,1990,Italy
1990 FIFA World Cup,6/11/1990,England,Republic of Ireland,1,1,,,Cagliari ,Group stage,35238,1990,Italy
1990 FIFA World Cup,6/12/1990,Belgium,South Korea,2,0,,,Verona ,Group stage,32790,1990,Italy
1990 FIFA World Cup,6/12/1990,Netherlands,Egypt,1,1,,,Palermo ,Group stage,33288,1990,Italy
1990 FIFA World Cup,6/13/1990,Argentina,Soviet Union,2,0,,,Naples ,Group stage,55759,1990,Italy
1990 FIFA World Cup,6/13/1990,Uruguay,Spain,0,0,,,Udine ,Group stage,35713,1990,Italy
1990 FIFA World Cup,6/14/1990,Cameroon,Romania,2,1,,,Bari ,Group stage,38687,1990,Italy
1990 FIFA World Cup,6/14/1990,Italy,USA,1,0,,,Rome ,Group stage,73423,1990,Italy
1990 FIFA World Cup,6/14/1990,Yugoslavia,Colombia,1,0,,,Bologna ,Group stage,32257,1990,Italy
1990 FIFA World Cup,6/15/1990,Austria,Czechoslovakia,0,1,,,Florence ,Group stage,38962,1990,Italy
1990 FIFA World Cup,6/15/1990,West Germany,United Arab Emirates,5,1,,,Milan ,Group stage,71169,1990,Italy
1990 FIFA World Cup,6/16/1990,Brazil,Costa Rica,1,0,,,Turin ,Group stage,58007,1990,Italy
1990 FIFA World Cup,6/16/1990,England,Netherlands,0,0,,,Cagliari ,Group stage,35267,1990,Italy
1990 FIFA World Cup,6/16/1990,Sweden,Scotland,1,2,,,Genoa ,Group stage,31823,1990,Italy
1990 FIFA World Cup,6/17/1990,Belgium,Uruguay,3,1,,,Verona ,Group stage,33759,1990,Italy
1990 FIFA World Cup,6/17/1990,South Korea,Spain,1,3,,,Udine ,Group stage,32733,1990,Italy
1990 FIFA World Cup,6/17/1990,Republic of Ireland,Egypt,0,0,,,Palermo ,Group stage,33288,1990,Italy
1990 FIFA World Cup,6/18/1990,Argentina,Romania,1,1,,,Naples ,Group stage,52733,1990,Italy
1990 FIFA World Cup,6/18/1990,Cameroon,Soviet Union,0,4,,,Bari ,Group stage,37307,1990,Italy
1990 FIFA World Cup,6/19/1990,Austria,USA,2,1,,,Florence ,Group stage,34857,1990,Italy
1990 FIFA World Cup,6/19/1990,West Germany,Colombia,1,1,,,Milan ,Group stage,72510,1990,Italy
1990 FIFA World Cup,6/19/1990,Italy,Czechoslovakia,2,0,,,Rome ,Group stage,73303,1990,Italy
1990 FIFA World Cup,6/19/1990,Yugoslavia,United Arab Emirates,4,1,,,Bologna ,Group stage,27833,1990,Italy
1990 FIFA World Cup,6/20/1990,Brazil,Scotland,1,0,,,Turin ,Group stage,62502,1990,Italy
1990 FIFA World Cup,6/20/1990,Sweden,Costa Rica,1,2,,,Genoa ,Group stage,30223,1990,Italy
1990 FIFA World Cup,6/21/1990,Belgium,Spain,1,2,,,Verona ,Group stage,35950,1990,Italy
1990 FIFA World Cup,6/21/1990,England,Egypt,1,0,,,Cagliari ,Group stage,34959,1990,Italy
1990 FIFA World Cup,6/21/1990,South Korea,Uruguay,0,1,,,Udine ,Group stage,29039,1990,Italy
1990 FIFA World Cup,6/21/1990,Republic of Ireland,Netherlands,1,1,,,Palermo ,Group stage,33288,1990,Italy
1990 FIFA World Cup,6/23/1990,Cameroon,Colombia,2,1,,,Naples ,Round of 16,50026,1990,Italy
1990 FIFA World Cup,6/23/1990,Czechoslovakia,Costa Rica,4,1,,,Bari ,Round of 16,47673,1990,Italy
1990 FIFA World Cup,6/24/1990,Brazil,Argentina,0,1,,,Turin ,Round of 16,61381,1990,Italy
1990 FIFA World Cup,6/24/1990,West Germany,Netherlands,2,1,,,Milan ,Round of 16,74559,1990,Italy
1990 FIFA World Cup,6/25/1990,Italy,Uruguay,2,0,,,Rome ,Round of 16,73303,1990,Italy
1990 FIFA World Cup,6/25/1990,Republic of Ireland,Romania,0,0,,,Genoa ,Round of 16,31818,1990,Italy
1990 FIFA World Cup,6/26/1990,England,Belgium,1,0,,,Bologna ,Round of 16,34520,1990,Italy
1990 FIFA World Cup,6/26/1990,Spain,Yugoslavia,1,2,,,Verona ,Round of 16,35500,1990,Italy
1990 FIFA World Cup,6/30/1990,Italy,Republic of Ireland,1,0,,,Rome ,Quarter-finals,73303,1990,Italy
1990 FIFA World Cup,6/30/1990,Yugoslavia,Argentina,0,0,,,Florence ,Quarter-finals,38971,1990,Italy
1990 FIFA World Cup,7/1/1990,England,Cameroon,3,2,,,Naples ,Quarter-finals,55205,1990,Italy
1990 FIFA World Cup,7/1/1990,West Germany,Czechoslovakia,1,0,,,Milan ,Quarter-finals,73347,1990,Italy
1990 FIFA World Cup,7/3/1990,Italy,Argentina,1,1,,,Naples ,Semi-finals,59978,1990,Italy
1990 FIFA World Cup,7/4/1990,West Germany,England,1,1,4,3,Turin ,Semi-finals,62628,1990,Italy
1990 FIFA World Cup,7/7/1990,Italy,England,2,1,,,Bari ,Match for third place,51426,1990,Italy
1990 FIFA World Cup,7/8/1990,West Germany,Argentina,1,0,,,Rome ,Final,73603,1990,Italy
1994 FIFA World Cup,6/17/1994,Germany,Bolivia,1,0,,,Chicago ,Group stage,63117,1994,USA
1994 FIFA World Cup,6/17/1994,Spain,South Korea,2,2,,,Dallas ,Group stage,56247,1994,USA
1994 FIFA World Cup,6/18/1994,Colombia,Romania,1,3,,,Los Angeles ,Group stage,91856,1994,USA
1994 FIFA World Cup,6/18/1994,Italy,Republic of Ireland,0,1,,,New York/New Jersey ,Group stage,75338,1994,USA
1994 FIFA World Cup,6/18/1994,USA,Switzerland,1,1,,,Detroit ,Group stage,73425,1994,USA
1994 FIFA World Cup,6/19/1994,Belgium,Morocco,1,0,,,Orlando ,Group stage,61219,1994,USA
1994 FIFA World Cup,6/19/1994,Cameroon,Sweden,2,2,,,Los Angeles ,Group stage,93194,1994,USA
1994 FIFA World Cup,6/19/1994,Norway,Mexico,1,0,,,Washington Dc ,Group stage,52395,1994,USA
1994 FIFA World Cup,6/20/1994,Brazil,Russia,2,0,,,San Francisco ,Group stage,81061,1994,USA
1994 FIFA World Cup,6/20/1994,Netherlands,Saudi Arabia,2,1,,,Washington Dc ,Group stage,50535,1994,USA
1994 FIFA World Cup,6/21/1994,Argentina,Greece,4,0,,,Boston ,Group stage,54456,1994,USA
1994 FIFA World Cup,6/21/1994,Germany,Spain,1,1,,,Chicago ,Group stage,63113,1994,USA
1994 FIFA World Cup,6/21/1994,Nigeria,Bulgaria,3,0,,,Dallas ,Group stage,44132,1994,USA
1994 FIFA World Cup,6/22/1994,Romania,Switzerland,1,4,,,Detroit ,Group stage,61428,1994,USA
1994 FIFA World Cup,6/22/1994,USA,Colombia,2,1,,,Los Angeles ,Group stage,93869,1994,USA
1994 FIFA World Cup,6/23/1994,Italy,Norway,1,0,,,New York/New Jersey ,Group stage,74624,1994,USA
1994 FIFA World Cup,6/23/1994,South Korea,Bolivia,0,0,,,Boston ,Group stage,54453,1994,USA
1994 FIFA World Cup,6/24/1994,Brazil,Cameroon,3,0,,,San Francisco ,Group stage,83401,1994,USA
1994 FIFA World Cup,6/24/1994,Mexico,Republic of Ireland,2,1,,,Orlando ,Group stage,60790,1994,USA
1994 FIFA World Cup,6/24/1994,Sweden,Russia,3,1,,,Detroit ,Group stage,71528,1994,USA
